name,number,lw_ratio,shape_index,distance,normalized_distance,hue,in_phase,type
image-38-blob3,210,2.524128,1.051444,804,0.403241,75.085163,0.01616,1
image-40-blob0,212,2.143719,1.023636,995,0.493056,77.327504,0.007705,1
image-40-blob1,213,1.800566,1.006984,953,0.473611,91.151377,0.021075,1
image-40-blob2,214,3.119728,1.080533,750,0.37963,84.242818,0.011514,1
image-40-blob3,215,3.249272,1.11457,704,0.358333,85.005667,0.011135,1
image-40-blob4,216,2.201016,1.059504,685,0.349537,85.060079,0.009563,1
image-40-blob5,217,3.353164,1.200067,655,0.335648,74.532217,0.007983,1
image-40-blob6,218,2.72213,1.065986,648,0.332407,89.156191,0.01066,1
image-40-blob7,219,3.407197,1.07071,639,0.328241,90.459956,0.016871,1
image-40-blob8,220,3.036741,1.080883,575,0.298611,82.503436,0.010039,1
image-40-blob9,221,4.446102,1.115718,555,0.289352,75.661883,0.007747,1
image-40-blob11,222,4.225565,1.161915,524,0.275,89.482666,0.007686,1
image-40-blob12,223,2.154979,1.106264,519,0.272685,85.825994,0.007007,1
image-40-blob14,224,2.378519,1.004599,494,0.261111,99.606611,0.017075,1
image-40-blob15,225,3.001689,1.064727,489,0.258796,92.50505,0.014222,1
image-40-blob16,226,1.565402,1.00491,483,0.256019,80.844127,0.015146,1
image-40-blob17,227,3.004403,1.059163,422,0.227778,90.752755,0.013824,1
image-40-blob18,228,2.982173,1.076375,411,0.222685,96.919046,0.015401,1
image-40-blob19,229,2.620186,1.044158,415,0.224537,90.211454,0.016285,1
image-40-blob20,230,1.456217,1.413277,407,0.220833,83.170813,0.019702,1
image-40-blob22,231,1.672325,0.98783,354,0.196296,76.46371,0.008114,1
image-40-blob23,232,3.171244,1.234094,365,0.201389,82.327666,0.014638,1
image-40-blob24,233,3.356186,1.072273,324,0.182407,96.360666,0.010814,1
image-40-blob25,234,3.630699,1.145687,339,0.189352,90.507127,0.015645,1
image-40-blob26,235,3.80972,1.122942,287,0.165278,97.521628,0.012746,1
image-40-blob27,236,4.429149,1.130726,275,0.159722,81.727517,0.009694,1
image-40-blob28,237,6.969845,1.274755,379,0.143056,69.943155,0.016746,1
image-40-blob29,238,1.402228,1.744277,129,0.027315,82.517281,0.041302,0
